LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
8704.4367	10855.3440	10074.5097	10822.6691	8815.7844	11176.9621	11236.5797	11466.5989	-0.3059
8744.0038	10941.5507	10119.3873	10863.3387	8852.6853	11253.6843	11280.1871	11525.2115	0.0099
8786.7414	10924.8714	10185.8660	10854.9338	8880.6636	11225.4990	11308.8845	11537.8419	0.3033
8786.3527	10938.6694	10143.9101	10921.0725	8879.1429	11273.2551	11289.8126	11564.6332	0.4604
8813.3346	10950.7977	10210.3552	10872.1368	8911.1098	11216.7108	11333.9612	11614.1139	0.5116
8814.1780	10947.3154	10173.2584	10901.7666	8880.7654	11218.8291	11272.3258	11527.7961	0.5068
8799.5250	11008.7208	10230.5812	10918.7526	8890.5939	11275.4777	11322.7031	11581.4226	0.4801
8806.5093	11011.7879	10257.2612	11000.9162	8886.5926	11237.7407	11286.3193	11524.0297	0.4515
8785.7733	10980.4794	10291.5228	10970.8427	8882.7722	11272.1380	11299.9351	11534.1761	0.4289
8818.9114	10996.2096	10269.4937	11038.3608	8870.7993	11270.1129	11327.9691	11580.2019	0.4123
8792.7501	10986.8664	10289.7667	11013.9913	8845.5987	11274.2282	11364.6937	11571.6086	0.3001
8757.5478	10927.8288	10219.3716	10975.8463	8847.7718	11239.6244	11311.3428	11566.5552	-0.0168
8670.9134	10822.6023	10040.6215	10930.6223	8772.9568	11169.5874	11174.2067	11456.7252	-0.3096
8643.7836	10864.0303	10015.6880	10790.7159	8765.2468	11206.4326	11223.5894	11502.1626	-0.4658
8714.7833	10844.0817	10084.2262	10832.6628	8802.5138	11192.2315	11268.6471	11610.6750	-0.5175
8731.9232	10815.0423	10108.4319	10772.3063	8799.1151	11154.8186	11292.8403	11553.3140	-0.5143
8702.1361	10769.9913	10100.7260	10813.6677	8785.7630	11108.0696	11235.0096	11499.0773	-0.4884
8635.7708	10791.7059	10064.4977	10770.2183	8769.2458	11102.6152	11190.3180	11446.4939	-0.4590
